,symbol,date,open,high,low,close,volume,open_interest,turnover,settle,pre_settle,variety
0,a1501,20150105,4665.0,4711.0,4660.0,4690.0,4466.0,14105.0,20980.13,4697.0,4665.0,A
1,a1503,20150105,4459.0,4459.0,4312.0,4445.0,129.0,103.0,566.33,4390.0,4444.0,A
2,a1505,20150105,4488.0,4504.0,4446.0,4497.0,36200.0,128649.0,162418.06,4486.0,4505.0,A
3,a1507,20150105,4450.0,4457.0,4450.0,4457.0,4.0,10.0,17.81,4451.0,4455.0,A
4,a1509,20150105,4410.0,4435.0,4385.0,4433.0,5460.0,33880.0,24160.93,4425.0,4442.0,A
5,a1511,20150105,4390.0,4405.0,4390.0,4405.0,3.0,64.0,13.18,4395.0,4422.0,A
6,a1601,20150105,4401.0,4435.0,4390.0,4435.0,145.0,6832.0,641.51,4424.0,4442.0,A
7,a1603,20150105,0.0,0.0,0.0,4507.0,0.0,1.0,0.0,4507.0,4510.0,A
8,a1605,20150105,4455.0,4457.0,4440.0,4440.0,4.0,32.0,17.8,4449.0,4455.0,A
9,b1501,20150105,0.0,0.0,0.0,3634.0,0.0,0.0,0.0,3634.0,3634.0,B
10,b1503,20150105,0.0,0.0,0.0,3189.0,0.0,9.0,0.0,3189.0,3189.0,B
11,b1505,20150105,3300.0,3300.0,3260.0,3260.0,5.0,161.0,16.36,3272.0,3260.0,B
12,b1507,20150105,0.0,0.0,0.0,3296.0,0.0,1.0,0.0,3296.0,3284.0,B
13,b1509,20150105,0.0,0.0,0.0,3275.0,0.0,8.0,0.0,3275.0,3275.0,B
14,b1511,20150105,0.0,0.0,0.0,3300.0,0.0,4.0,0.0,3300.0,3300.0,B
15,bb1501,20150105,149.2,149.2,149.2,149.2,376.0,2335.0,2804.96,149.2,140.8,BB
16,bb1502,20150105,131.5,134.85,128.4,128.5,7363.0,4675.0,48174.72,130.85,129.4,BB
17,bb1503,20150105,115.5,115.95,112.0,113.0,264.0,377.0,1503.16,113.85,115.65,BB
18,bb1504,20150105,0.0,0.0,0.0,123.15,0.0,3.0,0.0,123.15,125.05,BB
19,bb1505,20150105,127.0,127.25,124.0,124.05,1289.0,2049.0,8118.98,125.95,125.5,BB
20,bb1506,20150105,0.0,0.0,0.0,119.45,0.0,3.0,0.0,119.45,119.05,BB
21,bb1507,20150105,0.0,0.0,0.0,109.5,0.0,1.0,0.0,109.5,109.15,BB
22,bb1508,20150105,0.0,0.0,0.0,121.6,0.0,16.0,0.0,121.6,121.2,BB
23,bb1509,20150105,123.7,123.75,121.5,121.55,41.0,391.0,251.56,122.7,122.95,BB
24,bb1510,20150105,0.0,0.0,0.0,118.2,0.0,2.0,0.0,118.2,118.4,BB
25,bb1511,20150105,0.0,0.0,0.0,117.3,0.0,1.0,0.0,117.3,117.5,BB
26,bb1512,20150105,0.0,0.0,0.0,119.65,0.0,0.0,0.0,119.65,119.65,BB
27,c1501,20150105,2251.0,2271.0,2245.0,2255.0,2931.0,3753.0,6618.17,2257.0,2271.0,C
28,c1503,20150105,2309.0,2336.0,2294.0,2320.0,41.0,9.0,94.9,2314.0,2329.0,C
29,c1505,20150105,2377.0,2381.0,2369.0,2377.0,23435.0,77265.0,55664.94,2375.0,2386.0,C
30,c1507,20150105,2290.0,2360.0,2290.0,2336.0,14.0,36.0,32.73,2337.0,2354.0,C
31,c1509,20150105,2404.0,2407.0,2394.0,2399.0,9030.0,66880.0,21677.27,2400.0,2414.0,C
32,c1511,20150105,2223.0,2229.0,2220.0,2229.0,53.0,378.0,117.9,2224.0,2234.0,C
33,cs1503,20150105,2610.0,2613.0,2610.0,2613.0,12.0,66.0,31.32,2610.0,2622.0,CS
34,cs1505,20150105,2718.0,2718.0,2678.0,2684.0,6704.0,4895.0,18043.09,2691.0,2718.0,CS
35,cs1507,20150105,0.0,0.0,0.0,2731.0,0.0,2.0,0.0,2731.0,2758.0,CS
36,cs1509,20150105,2845.0,2845.0,2818.0,2841.0,696.0,1164.0,1971.34,2832.0,2838.0,CS
37,cs1511,20150105,0.0,0.0,0.0,2716.0,0.0,7.0,0.0,2716.0,2716.0,CS
38,fb1501,20150105,61.85,61.85,60.45,60.45,94.0,199.0,284.32,60.45,64.3,FB
39,fb1502,20150105,56.5,58.0,56.5,56.5,4.0,3.0,11.38,56.85,59.45,FB
40,fb1503,20150105,53.0,53.8,52.55,52.8,34.0,49.0,89.83,52.8,55.3,FB
41,fb1504,20150105,0.0,0.0,0.0,61.45,0.0,4.0,0.0,61.45,64.35,FB
42,fb1505,20150105,61.1,61.4,60.8,61.05,1036.0,1158.0,3168.99,61.15,61.15,FB
43,fb1506,20150105,0.0,0.0,0.0,58.8,0.0,3.0,0.0,58.8,60.6,FB
44,fb1507,20150105,0.0,0.0,0.0,53.2,0.0,1.0,0.0,53.2,53.2,FB
45,fb1508,20150105,64.0,66.1,63.05,63.05,3.0,9.0,9.66,64.35,64.0,FB
46,fb1509,20150105,60.7,61.05,60.5,60.6,8.0,86.0,24.31,60.75,60.75,FB
47,fb1510,20150105,0.0,0.0,0.0,59.2,0.0,2.0,0.0,59.2,59.2,FB
48,fb1511,20150105,0.0,0.0,0.0,58.15,0.0,1.0,0.0,58.15,58.15,FB
49,fb1512,20150105,0.0,0.0,0.0,58.3,0.0,0.0,0.0,58.3,58.3,FB
50,i1501,20150105,520.0,522.0,516.0,520.0,595.0,3618.0,3093.64,519.0,531.0,I
51,i1502,20150105,517.0,519.0,515.0,516.0,4.0,8.0,20.67,516.0,533.0,I
52,i1503,20150105,502.0,519.0,502.0,511.0,7.0,0.0,35.96,513.0,519.0,I
53,i1504,20150105,520.0,520.0,508.0,508.0,33.0,2.0,170.04,515.0,513.0,I
54,i1505,20150105,505.0,506.0,497.0,500.0,283263.0,328165.0,1418877.41,500.0,508.0,I
55,i1506,20150105,500.0,500.0,500.0,500.0,3.0,8.0,15.0,500.0,507.0,I
56,i1507,20150105,0.0,0.0,0.0,499.0,0.0,3.0,0.0,499.0,505.0,I
57,i1508,20150105,0.0,0.0,0.0,492.0,0.0,1.0,0.0,492.0,498.0,I
58,i1509,20150105,496.0,497.0,487.0,491.0,54933.0,79973.0,269847.36,491.0,500.0,I
59,i1510,20150105,506.0,506.0,490.0,492.0,15.0,12.0,74.79,498.0,500.0,I
60,i1511,20150105,0.0,0.0,0.0,503.0,0.0,1.0,0.0,503.0,504.0,I
61,i1512,20150105,478.0,503.0,478.0,488.0,8.0,3.0,38.87,485.0,496.0,I
62,j1501,20150105,1125.0,1156.0,1125.0,1137.0,6168.0,14591.0,70764.25,1147.0,1113.0,J
63,j1502,20150105,1030.0,1030.0,1030.0,1030.0,5.0,38.0,51.5,1030.0,1045.0,J
64,j1503,20150105,0.0,0.0,0.0,1055.0,0.0,13.0,0.0,1055.0,1055.0,J
65,j1504,20150105,1027.0,1032.0,1027.0,1032.0,5.0,3.0,51.45,1029.0,1039.0,J
66,j1505,20150105,1029.0,1037.0,1023.0,1031.0,41416.0,53557.0,426644.06,1030.0,1039.0,J
67,j1506,20150105,0.0,0.0,0.0,1051.0,0.0,15.0,0.0,1051.0,1052.0,J
68,j1507,20150105,1067.0,1067.0,1067.0,1067.0,2.0,11.0,21.34,1067.0,1067.0,J
69,j1508,20150105,1061.0,1061.0,1061.0,1061.0,2.0,95.0,21.22,1061.0,1070.0,J
70,j1509,20150105,1040.0,1051.0,1038.0,1044.0,1518.0,5019.0,15846.58,1043.0,1052.0,J
71,j1510,20150105,0.0,0.0,0.0,1071.0,0.0,10.0,0.0,1071.0,1071.0,J
72,j1511,20150105,1071.0,1071.0,1071.0,1071.0,1.0,7.0,10.71,1071.0,1061.0,J
73,j1512,20150105,0.0,0.0,0.0,1066.0,0.0,1.0,0.0,1066.0,1066.0,J
74,jd1501,20150105,4700.0,4700.0,4580.0,4580.0,56.0,18.0,259.88,4640.0,4492.0,JD
75,jd1502,20150105,0.0,0.0,0.0,4467.0,0.0,31.0,0.0,4467.0,4467.0,JD
76,jd1503,20150105,4196.0,4220.0,4196.0,4208.0,40.0,259.0,168.3,4207.0,4203.0,JD
77,jd1504,20150105,0.0,0.0,0.0,4171.0,0.0,16.0,0.0,4171.0,4167.0,JD
78,jd1505,20150105,4255.0,4309.0,4255.0,4290.0,71410.0,67827.0,305954.76,4284.0,4302.0,JD
79,jd1506,20150105,4265.0,4300.0,4265.0,4300.0,3.0,26.0,12.83,4277.0,4268.0,JD
80,jd1509,20150105,4524.0,4549.0,4523.0,4544.0,3528.0,12031.0,16003.44,4536.0,4539.0,JD
81,jd1510,20150105,4427.0,4427.0,4427.0,4427.0,1.0,11.0,4.43,4427.0,4416.0,JD
82,jd1511,20150105,0.0,0.0,0.0,4302.0,0.0,5.0,0.0,4302.0,4302.0,JD
83,jd1512,20150105,4444.0,4444.0,4444.0,4444.0,1.0,1.0,4.44,4444.0,4400.0,JD
84,jm1501,20150105,809.0,810.0,800.0,810.0,354.0,4167.0,1712.74,806.0,808.0,JM
85,jm1502,20150105,0.0,0.0,0.0,779.0,0.0,1.0,0.0,779.0,780.0,JM
86,jm1503,20150105,0.0,0.0,0.0,779.0,0.0,4.0,0.0,779.0,780.0,JM
87,jm1504,20150105,0.0,0.0,0.0,735.0,0.0,3.0,0.0,735.0,735.0,JM
88,jm1505,20150105,736.0,744.0,725.0,731.0,58740.0,79971.0,258348.02,733.0,737.0,JM
89,jm1506,20150105,738.0,749.0,734.0,734.0,6.0,7.0,26.54,737.0,744.0,JM
90,jm1507,20150105,738.0,748.0,738.0,748.0,2.0,1.0,8.92,743.0,756.0,JM
91,jm1508,20150105,0.0,0.0,0.0,760.0,0.0,3.0,0.0,760.0,773.0,JM
92,jm1509,20150105,741.0,751.0,735.0,738.0,4101.0,7471.0,18230.43,740.0,746.0,JM
93,jm1510,20150105,0.0,0.0,0.0,764.0,0.0,1.0,0.0,764.0,770.0,JM
