iter	Passed	Remaining
0	179	179528
1	219	109652
2	259	86110
3	295	73603
4	329	65621
5	364	60340
6	397	56399
7	431	53501
8	466	51413
9	505	50009
10	539	48507
11	571	47093
12	605	45974
13	638	44952
14	673	44200
15	706	43432
16	739	42787
17	771	42070
18	804	41544
19	838	41094
20	870	40573
21	901	40089
22	932	39606
23	963	39164
24	992	38711
25	1020	38228
26	1047	37762
27	1076	37359
28	1101	36891
29	1130	36560
30	1160	36264
31	1187	35911
32	1216	35633
33	1250	35525
34	1283	35401
35	1315	35217
36	1346	35033
37	1375	34810
38	1405	34626
39	1434	34424
40	1465	34283
41	1496	34137
42	1525	33959
43	1554	33772
44	1583	33600
45	1611	33431
46	1642	33309
47	1672	33177
48	1699	32992
49	1725	32780
50	1753	32619
51	1780	32453
52	1806	32275
53	1834	32139
54	1862	32007
55	1887	31819
56	1915	31682
57	1942	31556
58	1969	31406
59	1991	31195
60	2018	31065
61	2042	30899
62	2067	30748
63	2091	30589
64	2119	30483
65	2155	30502
66	2187	30459
67	2218	30410
68	2249	30345
69	2272	30196
70	2307	30195
71	2336	30114
72	2371	30108
73	2395	29972
74	2417	29816
75	2445	29737
76	2473	29651
77	2499	29549
78	2523	29421
79	2551	29341
80	2576	29230
81	2597	29080
82	2623	28984
83	2650	28904
84	2671	28761
85	2703	28727
86	2730	28651
87	2752	28522
88	2776	28417
89	2799	28308
90	2822	28196
91	2847	28107
92	2870	27998
93	2896	27913
94	2926	27882
95	2956	27843
96	2986	27804
97	3009	27698
98	3031	27592
99	3053	27479
100	3078	27405
101	3102	27313
102	3133	27284
103	3156	27195
104	3178	27094
105	3203	27020
106	3232	26980
107	3257	26904
108	3279	26810
109	3302	26722
110	3326	26642
111	3353	26587
112	3377	26512
113	3400	26427
114	3423	26345
115	3449	26288
116	3475	26230
117	3498	26146
118	3519	26056
119	3541	25972
120	3564	25895
121	3592	25855
122	3615	25781
123	3636	25692
124	3659	25619
125	3680	25530
126	3704	25468
127	3724	25373
128	3747	25302
129	3771	25242
130	3800	25211
131	3824	25145
132	3846	25076
133	3874	25041
134	3899	24984
135	3923	24925
136	3952	24898
137	3979	24855
138	4002	24794
139	4028	24744
140	4049	24672
141	4082	24667
142	4111	24639
143	4134	24576
144	4156	24511
145	4181	24458
146	4203	24390
147	4227	24336
148	4252	24285
149	4272	24210
150	4302	24192
151	4325	24133
152	4351	24090
153	4375	24034
154	4403	24007
155	4431	23973
156	4462	23962
157	4491	23934
158	4522	23918
159	4544	23858
160	4574	23838
161	4600	23799
162	4630	23775
163	4656	23734
164	4678	23675
165	4702	23624
166	4730	23596
167	4755	23552
168	4781	23509
169	4803	23452
170	4828	23408
171	4850	23350
172	4873	23297
173	4895	23237
174	4916	23178
175	4940	23130
176	4963	23076
177	4992	23056
178	5015	23003
179	5044	22980
180	5069	22939
181	5099	22917
182	5123	22872
183	5149	22834
184	5172	22785
185	5202	22770
186	5233	22753
187	5256	22705
188	5280	22659
189	5306	22621
190	5330	22577
191	5353	22530
192	5384	22514
193	5413	22490
194	5437	22445
195	5458	22392
196	5481	22344
197	5503	22292
198	5526	22244
199	5550	22200
200	5576	22168
201	5601	22129
202	5628	22096
203	5657	22076
204	5681	22034
205	5706	21996
206	5731	21956
207	5754	21911
208	5779	21873
209	5803	21832
210	5831	21806
211	5856	21768
212	5882	21735
213	5905	21690
214	5934	21667
215	5956	21620
216	5984	21593
217	6010	21560
218	6037	21529
219	6069	21519
220	6096	21487
221	6123	21460
222	6148	21423
223	6175	21392
224	6198	21349
225	6220	21305
226	6244	21264
227	6268	21226
228	6293	21187
229	6316	21145
230	6346	21126
231	6372	21094
232	6404	21083
233	6431	21055
234	6458	21025
235	6482	20986
236	6507	20948
237	6533	20918
238	6562	20894
239	6592	20875
240	6623	20860
241	6652	20838
242	6681	20815
243	6708	20786
244	6735	20757
245	6759	20716
246	6786	20689
247	6813	20661
248	6847	20653
249	6877	20633
250	6904	20603
251	6933	20580
252	6957	20542
253	6984	20514
254	7017	20500
255	7042	20467
256	7068	20435
257	7092	20398
258	7117	20362
259	7142	20329
260	7164	20286
261	7194	20264
262	7220	20234
263	7246	20202
264	7270	20166
265	7294	20128
266	7318	20091
267	7343	20057
268	7367	20022
269	7393	19989
270	7425	19974
271	7452	19947
272	7486	19937
273	7511	19902
274	7535	19865
275	7561	19836
276	7586	19802
277	7613	19773
278	7640	19746
279	7670	19724
280	7700	19703
281	7733	19690
282	7756	19651
283	7780	19616
284	7805	19581
285	7828	19544
286	7853	19511
287	7877	19474
288	7902	19440
289	7925	19404
290	7952	19374
291	7986	19364
292	8024	19362
293	8061	19357
294	8093	19342
295	8123	19319
296	8148	19288
297	8171	19249
298	8195	19214
299	8219	19178
300	8243	19143
301	8271	19118
302	8298	19089
303	8327	19065
304	8352	19032
305	8376	18998
306	8399	18961
307	8419	18916
308	8441	18877
309	8464	18839
310	8492	18814
311	8519	18786
312	8542	18749
313	8565	18712
314	8589	18678
315	8613	18644
316	8637	18610
317	8660	18573
318	8685	18540
319	8709	18507
320	8738	18484
321	8768	18462
322	8794	18432
323	8818	18399
324	8840	18360
325	8862	18323
326	8886	18289
327	8910	18255
328	8933	18220
329	8958	18188
330	8984	18159
331	9014	18138
332	9045	18118
333	9067	18080
334	9090	18044
335	9114	18011
336	9137	17976
337	9159	17940
338	9181	17902
339	9203	17865
340	9231	17841
341	9258	17813
342	9280	17776
343	9304	17743
344	9327	17709
345	9352	17677
346	9375	17643
347	9398	17607
348	9421	17573
349	9447	17545
350	9474	17518
351	9501	17492
352	9527	17462
353	9553	17434
354	9578	17402
355	9600	17367
356	9629	17343
357	9656	17316
358	9682	17287
359	9710	17262
360	9738	17238
